created_at,order id,customer_id,customer_name,email,id,price_usd,price_cad,product_id,product_name,product_sku,total_price_usd,total_price_cad,exchange rate
2020-03-07T14:31:11Z,8369263756632563,47178.0,William Doe,william.doe@gmail.com,610448,29.4,39.45502822926,632910392,Purple Punch 2.0 Dried Flower,PPLEPUNCH20-05,79.39,106.541996296631,1.3420077629
2020-03-07T14:31:11Z,8369263756632563,47178.0,William Doe,william.doe@gmail.com,997208,49.99,67.086968067371,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,79.39,106.541996296631,1.3420077629
2020-03-01T09:16:30Z,7262170348080494,94720.0,Emile Tumson,emile.tumson@gmail.com,997208,49.99,67.20437551118499,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,86.98,116.93211806287,1.3443563815
2020-03-01T09:16:30Z,7262170348080494,94720.0,Emile Tumson,emile.tumson@gmail.com,759658,36.99,49.727742551685,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,86.98,116.93211806287,1.3443563815
2020-01-01T09:17:03Z,7722055557038194,59933.0,Ethan Jones,ethan.jones@gmail.com,759658,36.99,48.066585366960005,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,36.99,48.066585366960005,1.299448104
2020-03-10T11:59:46Z,4280852170163518,23955.0,Daniel Smith,daniel.smith@gmail.com,317808,5.99,8.192994732267001,477365777,Glueberry OG Pre-Rolls,GOGPR-07,55.98,76.568254609734,1.3677787533
2020-03-10T11:59:46Z,4280852170163518,23955.0,Daniel Smith,daniel.smith@gmail.com,771854,49.99,68.375259877467,694165761,Hybrid Blend THC Tincture,HYBTINC-03,55.98,76.568254609734,1.3677787533
2020-03-15T07:27:24Z,5058732129957127,,,,604665,259.99,360.319354296259,510650809,Pax 3 Vaporizer,PAX-3,309.98,429.60034403151803,1.3858969741
2020-03-15T07:27:24Z,5058732129957127,,,,997208,49.99,69.280989735259,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,309.98,429.60034403151803,1.3858969741
2020-03-12T07:16:07Z,6431399815998774,,,,997208,49.99,69.0431281121,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,315.97,436.3984234763001,1.38113879
2020-03-12T07:16:07Z,6431399815998774,,,,317808,5.99,8.2730213521,477365777,Glueberry OG Pre-Rolls,GOGPR-07,315.97,436.3984234763001,1.38113879
2020-03-12T07:16:07Z,6431399815998774,,,,604665,259.99,359.0822740121,510650809,Pax 3 Vaporizer,PAX-3,315.97,436.3984234763001,1.38113879
2020-03-24T09:52:40Z,5791957346866373,,,,759658,36.99,53.61383749821301,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,36.99,53.61383749821301,1.4494143687
2020-02-19T19:33:57Z,2079640804901496,,,,317808,5.99,7.920665740652,477365777,Glueberry OG Pre-Rolls,GOGPR-07,55.98,74.02318333250399,1.3223148148
2020-02-19T19:33:57Z,2079640804901496,,,,771854,49.99,66.10251759185199,694165761,Hybrid Blend THC Tincture,HYBTINC-03,55.98,74.02318333250399,1.3223148148
