created_at,order id,customer_id,customer_name,email,id,price_usd,price_cad,product_id,product_name,product_sku,total_price_usd,total_price_cad,exchange rate
2020-03-07T14:31:11Z,8369263756632560,47178,William Doe,william.doe@gmail.com,610448,29.4,39.45502823,632910392,Purple Punch 2.0 Dried Flower,PPLEPUNCH20-05,79.39,106.5419963,1.342007763
2020-03-07T14:31:11Z,8369263756632560,47178,William Doe,william.doe@gmail.com,997208,49.99,67.08696807,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,79.39,106.5419963,1.342007763
2020-03-01T09:16:30Z,7262170348080490,94720,Emile Tumson,emile.tumson@gmail.com,997208,49.99,67.20437551,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,86.98,116.9321181,1.344356382
2020-03-01T09:16:30Z,7262170348080490,94720,Emile Tumson,emile.tumson@gmail.com,759658,36.99,49.72774255,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,86.98,116.9321181,1.344356382
2020-01-01T09:17:03Z,7722055557038190,59933,Ethan Jones,ethan.jones@gmail.com,759658,36.99,48.06658537,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,36.99,48.06658537,1.299448104
2020-03-10T11:59:46Z,4280852170163510,23955,Daniel Smith,daniel.smith@gmail.com,317808,5.99,8.192994732,477365777,Glueberry OG Pre-Rolls,GOGPR-07,55.98,76.56825461,1.367778753
2020-03-10T11:59:46Z,4280852170163510,23955,Daniel Smith,daniel.smith@gmail.com,771854,49.99,68.37525988,694165761,Hybrid Blend THC Tincture,HYBTINC-03,55.98,76.56825461,1.367778753
2020-03-15T07:27:24Z,5058732129957120,59933,Ethan Jones,ethan.jones@gmail.com,604665,259.99,360.3193543,510650809,Pax 3 Vaporizer,PAX-3,309.98,429.600344,1.385896974
2020-03-15T07:27:24Z,5058732129957120,59933,Ethan Jones,ethan.jones@gmail.com,997208,49.99,69.28098974,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,309.98,429.600344,1.385896974
2020-03-12T07:16:07Z,6431399815998770,23955,Daniel Smith,daniel.smith@gmail.com,997208,49.99,69.04312811,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,315.97,436.3984235,1.38113879
2020-03-12T07:16:07Z,6431399815998770,23955,Daniel Smith,daniel.smith@gmail.com,317808,5.99,8.273021352,477365777,Glueberry OG Pre-Rolls,GOGPR-07,315.97,436.3984235,1.38113879
2020-03-12T07:16:07Z,6431399815998770,23955,Daniel Smith,daniel.smith@gmail.com,604665,259.99,359.082274,510650809,Pax 3 Vaporizer,PAX-3,315.97,436.3984235,1.38113879
2020-03-24T09:52:40Z,5791957346866370,47178,William Doe,william.doe@gmail.com,759658,36.99,53.6138375,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,36.99,53.6138375,1.449414369
2020-02-19T19:33:57Z,2079640804901490,23955,Daniel Smith,daniel.smith@gmail.com,317808,5.99,7.920665741,477365777,Glueberry OG Pre-Rolls,GOGPR-07,55.98,74.02318333,1.322314815
2020-02-19T19:33:57Z,2079640804901490,23955,Daniel Smith,daniel.smith@gmail.com,771854,49.99,66.10251759,694165761,Hybrid Blend THC Tincture,HYBTINC-03,55.98,74.02318333,1.322314815
2020-03-13T12:15:51Z,2249838395290890,47178,William Doe,william.doe@gmail.com,604665,259.99,360.3193543,510650809,Pax 3 Vaporizer,PAX-3,309.98,429.600344,1.385896974
2020-03-13T12:15:51Z,2249838395290890,47178,William Doe,william.doe@gmail.com,997208,49.99,69.28098974,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,309.98,429.600344,1.385896974
2020-03-08T05:28:01Z,7638742701884070,59933,Ethan Jones,ethan.jones@gmail.com,317808,5.99,8.0386265,477365777,Glueberry OG Pre-Rolls,GOGPR-07,35.39,47.49365473,1.342007763
2020-03-08T05:28:01Z,7638742701884070,59933,Ethan Jones,ethan.jones@gmail.com,610448,29.4,39.45502823,632910392,Purple Punch 2.0 Dried Flower,PPLEPUNCH20-05,35.39,47.49365473,1.342007763
2020-03-12T01:40:57Z,5307192536865300,47178,William Doe,william.doe@gmail.com,997208,49.99,69.04312811,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,86.98,120.131452,1.38113879
2020-03-12T01:40:57Z,5307192536865300,47178,William Doe,william.doe@gmail.com,759658,36.99,51.08832384,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,86.98,120.131452,1.38113879
2020-02-05T10:22:49Z,8662976573169710,94720,Emile Tumson,emile.tumson@gmail.com,317808,5.99,7.957684841,477365777,Glueberry OG Pre-Rolls,GOGPR-07,5.99,7.957684841,1.328494965
2020-01-18T12:46:12Z,2366621613260720,23955,Daniel Smith,daniel.smith@gmail.com,604665,259.99,339.3351656,510650809,Pax 3 Vaporizer,PAX-3,259.99,339.3351656,1.305185452
2020-03-18T13:43:24Z,9786845594710800,59933,Ethan Jones,ethan.jones@gmail.com,771854,49.99,72.00407079,694165761,Hybrid Blend THC Tincture,HYBTINC-03,79.39,114.3509338,1.44036949
2020-03-18T13:43:24Z,9786845594710800,59933,Ethan Jones,ethan.jones@gmail.com,610448,29.4,42.346863,632910392,Purple Punch 2.0 Dried Flower,PPLEPUNCH20-05,79.39,114.3509338,1.44036949
2020-01-05T09:41:30Z,6255086600405590,94720,Emile Tumson,emile.tumson@gmail.com,997208,49.99,64.89685925,278266679,Grandpa's Stash Dried Flower,GPSTASH-01,55.98,72.67305822,1.298196824
2020-01-05T09:41:30Z,6255086600405590,94720,Emile Tumson,emile.tumson@gmail.com,317808,5.99,7.776198978,477365777,Glueberry OG Pre-Rolls,GOGPR-07,55.98,72.67305822,1.298196824
2020-03-24T07:12:33Z,5235927587417730,94720,Emile Tumson,emile.tumson@gmail.com,759658,36.99,53.6138375,573794972,Sage N Sour Dried Flower,SAGENSOUR-01,36.99,53.6138375,1.449414369
2020-01-01T12:59:26Z,5825547264855960,59933,Ethan Jones,ethan.jones@gmail.com,771854,49.99,64.95941072,694165761,Hybrid Blend THC Tincture,HYBTINC-03,55.98,72.74310486,1.299448104
